DAIRY_old
Series ID,Year,Period,Label,Value
CXUDAIRYLB0218M,2016,A01,2016 Annual,532
CXUDAIRYLB0218M,2017,A01,2017 Annual,575
CXUDAIRYLB0218M,2018,A01,2018 Annual,557
CXUDAIRYLB0218M,2019,A01,2019 Annual,562
CXUDAIRYLB0218M,2020,A01,2020 Annual,606
CXUDAIRYLB0220M,2016,A01,2016 Annual,1045
CXUDAIRYLB0220M,2017,A01,2017 Annual,1131
CXUDAIRYLB0220M,2018,A01,2018 Annual,1084
CXUDAIRYLB0220M,2019,A01,2019 Annual,1070
CXUDAIRYLB0220M,2020,A01,2020 Annual,1146
CXUDAIRYLB0222M,2016,A01,2016 Annual,1394
CXUDAIRYLB0222M,2017,A01,2017 Annual,1469
CXUDAIRYLB0222M,2018,A01,2018 Annual,1511
CXUDAIRYLB0222M,2019,A01,2019 Annual,1474
CXUDAIRYLB0222M,2020,A01,2020 Annual,1462
