Series ID,Year,Period,Label,Value
CXUFOODTOTLLB0101M,1984,A01,1984 Annual,3290
CXUFOODTOTLLB0101M,1985,A01,1985 Annual,3477
CXUFOODTOTLLB0101M,1986,A01,1986 Annual,3448
CXUFOODTOTLLB0101M,1987,A01,1987 Annual,3664
CXUFOODTOTLLB0101M,1988,A01,1988 Annual,3748
CXUFOODTOTLLB0101M,1989,A01,1989 Annual,4152
CXUFOODTOTLLB0101M,1990,A01,1990 Annual,4296
CXUFOODTOTLLB0101M,1991,A01,1991 Annual,4271
CXUFOODTOTLLB0101M,1992,A01,1992 Annual,4273
CXUFOODTOTLLB0101M,1993,A01,1993 Annual,4399
CXUFOODTOTLLB0101M,1994,A01,1994 Annual,4411
CXUFOODTOTLLB0101M,1995,A01,1995 Annual,4505
CXUFOODTOTLLB0101M,1996,A01,1996 Annual,4698
CXUFOODTOTLLB0101M,1997,A01,1997 Annual,4801
CXUFOODTOTLLB0101M,1998,A01,1998 Annual,4810
CXUFOODTOTLLB0101M,1999,A01,1999 Annual,5031
CXUFOODTOTLLB0101M,2000,A01,2000 Annual,5158
CXUFOODTOTLLB0101M,2001,A01,2001 Annual,5321
CXUFOODTOTLLB0101M,2002,A01,2002 Annual,5375
CXUFOODTOTLLB0101M,2003,A01,2003 Annual,5340
CXUFOODTOTLLB0101M,2004,A01,2004 Annual,5781
CXUFOODTOTLLB0101M,2005,A01,2005 Annual,5931
CXUFOODTOTLLB0101M,2006,A01,2006 Annual,6111
CXUFOODTOTLLB0101M,2007,A01,2007 Annual,6133
CXUFOODTOTLLB0101M,2008,A01,2008 Annual,6443
CXUFOODTOTLLB0101M,2009,A01,2009 Annual,6372
CXUFOODTOTLLB0101M,2010,A01,2010 Annual,6129
CXUFOODTOTLLB0101M,2011,A01,2011 Annual,6458
CXUFOODTOTLLB0101M,2012,A01,2012 Annual,6599
CXUFOODTOTLLB0101M,2013,A01,2013 Annual,6602
CXUFOODTOTLLB0101M,2014,A01,2014 Annual,6759
CXUFOODTOTLLB0101M,2015,A01,2015 Annual,7023
CXUFOODTOTLLB0101M,2016,A01,2016 Annual,7203
CXUFOODTOTLLB0101M,2017,A01,2017 Annual,7729
CXUFOODTOTLLB0101M,2018,A01,2018 Annual,7923
CXUFOODTOTLLB0101M,2019,A01,2019 Annual,8169
CXUFOODTOTLLB0101M,2020,A01,2020 Annual,7316
