FRUIT_old
Series ID,Year,Period,Label,Value
CXUFRSHFRUTLB0218M,2016,A01,2016 Annual,345
CXUFRSHFRUTLB0218M,2017,A01,2017 Annual,384
CXUFRSHFRUTLB0218M,2018,A01,2018 Annual,399
CXUFRSHFRUTLB0218M,2019,A01,2019 Annual,370
CXUFRSHFRUTLB0218M,2020,A01,2020 Annual,440
CXUFRSHFRUTLB0220M,2016,A01,2016 Annual,749
CXUFRSHFRUTLB0220M,2017,A01,2017 Annual,810
CXUFRSHFRUTLB0220M,2018,A01,2018 Annual,760
CXUFRSHFRUTLB0220M,2019,A01,2019 Annual,734
CXUFRSHFRUTLB0220M,2020,A01,2020 Annual,804
CXUFRSHFRUTLB0222M,2016,A01,2016 Annual,1102
CXUFRSHFRUTLB0222M,2017,A01,2017 Annual,1110
CXUFRSHFRUTLB0222M,2018,A01,2018 Annual,1132
CXUFRSHFRUTLB0222M,2019,A01,2019 Annual,1106
CXUFRSHFRUTLB0222M,2020,A01,2020 Annual,1151
