GRAINS
Series ID,Year,Period,Label,Value
CXUCERBAKRYLB0218M,2016,A01,2016 Annual,678
CXUCERBAKRYLB0218M,2017,A01,2017 Annual,731
CXUCERBAKRYLB0218M,2018,A01,2018 Annual,736
CXUCERBAKRYLB0218M,2019,A01,2019 Annual,755
CXUCERBAKRYLB0218M,2020,A01,2020 Annual,845
CXUCERBAKRYLB0220M,2016,A01,2016 Annual,611
CXUCERBAKRYLB0220M,2017,A01,2017 Annual,605
CXUCERBAKRYLB0220M,2018,A01,2018 Annual,629
CXUCERBAKRYLB0220M,2019,A01,2019 Annual,621
CXUCERBAKRYLB0220M,2020,A01,2020 Annual,658
CXUCERBAKRYLB0222M,2016,A01,2016 Annual,828
CXUCERBAKRYLB0222M,2017,A01,2017 Annual,765
CXUCERBAKRYLB0222M,2018,A01,2018 Annual,869
CXUCERBAKRYLB0222M,2019,A01,2019 Annual,885
CXUCERBAKRYLB0222M,2020,A01,2020 Annual,846
