MPFE_old
Series ID,Year,Period,Label,Value
CXUANIMALLB0219M,2016,A01,2016 Annual,667
CXUANIMALLB0219M,2017,A01,2017 Annual,703
CXUANIMALLB0219M,2018,A01,2018 Annual,642
CXUANIMALLB0219M,2019,A01,2019 Annual,682
CXUANIMALLB0219M,2020,A01,2020 Annual,608
CXUANIMALLB0220M,2016,A01,2016 Annual,1012
CXUANIMALLB0220M,2017,A01,2017 Annual,970
CXUANIMALLB0220M,2018,A01,2018 Annual,1042
CXUANIMALLB0220M,2019,A01,2019 Annual,1071
CXUANIMALLB0220M,2020,A01,2020 Annual,1061
CXUANIMALLB0222M,2016,A01,2016 Annual,1465
CXUANIMALLB0222M,2017,A01,2017 Annual,1279
CXUANIMALLB0222M,2018,A01,2018 Annual,1453
CXUANIMALLB0222M,2019,A01,2019 Annual,1400
CXUANIMALLB0222M,2020,A01,2020 Annual,1546
