SS
Series ID,Year,Period,Label,Value
CXUSWEETSLB0218M,2016,A01,2016 Annual,193
CXUSWEETSLB0218M,2017,A01,2017 Annual,177
CXUSWEETSLB0218M,2018,A01,2018 Annual,198
CXUSWEETSLB0218M,2019,A01,2019 Annual,196
CXUSWEETSLB0218M,2020,A01,2020 Annual,221
CXUSWEETSLB0220M,2016,A01,2016 Annual,372
CXUSWEETSLB0220M,2017,A01,2017 Annual,359
CXUSWEETSLB0220M,2018,A01,2018 Annual,353
CXUSWEETSLB0220M,2019,A01,2019 Annual,400
CXUSWEETSLB0220M,2020,A01,2020 Annual,387
CXUSWEETSLB0222M,2016,A01,2016 Annual,539
CXUSWEETSLB0222M,2017,A01,2017 Annual,491
CXUSWEETSLB0222M,2018,A01,2018 Annual,496
CXUSWEETSLB0222M,2019,A01,2019 Annual,548
CXUSWEETSLB0222M,2020,A01,2020 Annual,480
