VEG_old
Series ID,Year,Period,Label,Value
CXUFRESHVEGLB0218M,2016,A01,2016 Annual,307
CXUFRESHVEGLB0218M,2017,A01,2017 Annual,329
CXUFRESHVEGLB0218M,2018,A01,2018 Annual,346
CXUFRESHVEGLB0218M,2019,A01,2019 Annual,352
CXUFRESHVEGLB0218M,2020,A01,2020 Annual,385
CXUFRESHVEGLB0220M,2016,A01,2016 Annual,293
CXUFRESHVEGLB0220M,2017,A01,2017 Annual,308
CXUFRESHVEGLB0220M,2018,A01,2018 Annual,310
CXUFRESHVEGLB0220M,2019,A01,2019 Annual,307
CXUFRESHVEGLB0220M,2020,A01,2020 Annual,308
CXUFRESHVEGLB0221M,2016,A01,2016 Annual,371
CXUFRESHVEGLB0221M,2017,A01,2017 Annual,382
CXUFRESHVEGLB0221M,2018,A01,2018 Annual,365
CXUFRESHVEGLB0221M,2019,A01,2019 Annual,390
CXUFRESHVEGLB0221M,2020,A01,2020 Annual,422
